,ACC,ACC0,Acc1,ACC2,ECG,EMG,EDA,resp,temp,label
38,"[0.8702000379562378, -0.12339997291564941, -0.2850000262260437]",0.8702000379562378,-0.12339997291564941,-0.2850000262260437,[0.2041168212890625],[-0.0074615478515625],[2.671051025390625],[-0.74920654296875],[31.06072998046875],2
39,"[0.9021999835968018, -0.13179999589920044, -0.21979999542236328]",0.9021999835968018,-0.13179999589920044,-0.21979999542236328,[0.5239105224609375],[0.01519775390625],[1.42822265625],[-5.29022216796875],[31.38848876953125],2
40,"[0.6241999864578247, -0.11720001697540283, -0.6990000009536743]",0.6241999864578247,-0.11720001697540283,-0.6990000009536743,[-0.160125732421875],[0.0115814208984375],[4.62493896484375],[0.65460205078125],[29.046234130859375],1
41,"[0.8874000310897827, -0.1029999852180481, -0.2955999970436096]",0.8874000310897827,-0.1029999852180481,-0.2955999970436096,[-0.0605621337890625],[-0.0057220458984375],[1.2908935546875],[-0.05035400390625],[31.189910888671875],2
42,"[0.860200047492981, -0.14399999380111694, -0.30159997940063477]",0.860200047492981,-0.14399999380111694,-0.30159997940063477,[-0.2262725830078125],[-0.0035247802734375],[1.253509521484375],[2.80914306640625],[31.304595947265625],2
43,"[0.6141999959945679, -0.0722000002861023, -0.7070000171661377]",0.6141999959945679,-0.0722000002861023,-0.7070000171661377,[0.4211883544921875],[-0.0447235107421875],[2.1884918212890625],[1.66168212890625],[28.43597412109375],1
44,"[0.8921999931335449, -0.11119997501373291, -0.2526000142097473]",0.8921999931335449,-0.11119997501373291,-0.2526000142097473,[0.0380401611328125],[0.010528564453125],[1.1936187744140625],[-4.65240478515625],[31.372283935546875],2
45,"[0.6297999620437622, -0.08619999885559082, -0.715999960899353]",0.6297999620437622,-0.08619999885559082,-0.715999960899353,[-0.2303009033203125],[-0.00018310546875],[1.1478424072265625],[-1.64947509765625],[28.4588623046875],1
46,"[0.8813999891281128, -0.1629999876022339, -0.25300002098083496]",0.8813999891281128,-0.1629999876022339,-0.25300002098083496,[-0.1177825927734375],[-0.0085601806640625],[1.256561279296875],[2.55889892578125],[31.301666259765625],2
47,"[0.6205999851226807, -0.07340002059936523, -0.7202000021934509]",0.6205999851226807,-0.07340002059936523,-0.7202000021934509,[0.0449066162109375],[-0.0019683837890625],[1.5636444091796875],[0.35247802734375],[28.351776123046875],1
48,"[0.6274000406265259, -0.09020000696182251, -0.7093999981880188]",0.6274000406265259,-0.09020000696182251,-0.7093999981880188,[0.0259552001953125],[0.0024261474609375],[1.1627197265625],[0.40435791015625],[28.4302978515625],1
49,"[0.8761999607086182, -0.12360000610351562, -0.30580002069473267]",0.8761999607086182,-0.12360000610351562,-0.30580002069473267,[-0.0773162841796875],[0.0022430419921875],[1.66473388671875],[-4.02984619140625],[31.079803466796875],2
50,"[0.617400050163269, -0.06639999151229858, -0.7324000000953674]",0.617400050163269,-0.06639999151229858,-0.7324000000953674,[-0.2400970458984375],[-0.0084686279296875],[1.6834259033203125],[-1.00555419921875],[28.481719970703125],1
51,"[0.881600022315979, -0.1258000135421753, -0.2865999937057495]",0.881600022315979,-0.1258000135421753,-0.2865999937057495,[-0.0423431396484375],[-0.0046234130859375],[1.47705078125],[1.68304443359375],[31.087158203125],2
52,"[0.6217999458312988, -0.06099998950958252, -0.7197999954223633]",0.6217999458312988,-0.06099998950958252,-0.7197999954223633,[0.0243988037109375],[0.0051727294921875],[1.58233642578125],[-0.54168701171875],[28.433135986328125],1
53,"[0.8696000576019287, -0.12760001420974731, -0.2955999970436096]",0.8696000576019287,-0.12760001420974731,-0.2955999970436096,[0.0743865966796875],[-0.0079193115234375],[1.5201568603515625],[4.02374267578125],[31.087158203125],2
54,"[0.8839999437332153, -0.1510000228881836, -0.2157999873161316]",0.8839999437332153,-0.1510000228881836,-0.2157999873161316,[0.010894775390625],[-0.0116729736328125],[1.296234130859375],[-4.25872802734375],[31.20758056640625],2
55,"[0.6266000270843506, -0.08060002326965332, -0.7142000198364258]",0.6266000270843506,-0.08060002326965332,-0.7142000198364258,[0.0146942138671875],[-0.0070953369140625],[1.20086669921875],[-0.27313232421875],[28.31036376953125],1
56,"[0.6186000108718872, -0.10460001230239868, -0.7142000198364258]",0.6186000108718872,-0.10460001230239868,-0.7142000198364258,[0.027008056640625],[0.0062713623046875],[4.5352935791015625],[-1.21307373046875],[29.00030517578125],1
57,"[0.6282000541687012, -0.0626000165939331, -0.7111999988555908]",0.6282000541687012,-0.0626000165939331,-0.7111999988555908,[0.0350189208984375],[-0.00494384765625],[2.161407470703125],[1.57318115234375],[28.416046142578125],1
58,"[0.6338000297546387, -0.07099997997283936, -0.7229999899864197]",0.6338000297546387,-0.07099997997283936,-0.7229999899864197,[0.3825531005859375],[0.0016937255859375],[3.41644287109375],[-1.65252685546875],[28.79656982421875],1
59,"[0.8625999689102173, -0.13660001754760742, -0.3149999976158142]",0.8625999689102173,-0.13660001754760742,-0.3149999976158142,[-0.0224761962890625],[0.0011444091796875],[1.798248291015625],[-0.78277587890625],[31.072479248046875],2
60,"[0.6471999883651733, -0.05019998550415039, -0.6818000078201294]",0.6471999883651733,-0.05019998550415039,-0.6818000078201294,[0.55096435546875],[-0.0051727294921875],[3.3306121826171875],[-2.26898193359375],[28.820953369140625],1
61,"[0.8681999444961548, -0.125, -0.30900001525878906]",0.8681999444961548,-0.125,-0.30900001525878906,[0.0414276123046875],[0.0099334716796875],[1.7681121826171875],[3.57208251953125],[31.082733154296875],2
62,"[0.8841999769210815, -0.1305999755859375, -0.2531999945640564]",0.8841999769210815,-0.1305999755859375,-0.2531999945640564,[0.0397796630859375],[-0.0061798095703125],[1.20391845703125],[8.80584716796875],[31.36346435546875],2
63,"[0.8561999797821045, -0.1534000039100647, -0.25620001554489136]",0.8561999797821045,-0.1534000039100647,-0.25620001554489136,[-0.2736968994140625],[-0.01446533203125],[1.261138916015625],[-3.86199951171875],[31.366424560546875],2
64,"[0.875, -0.12779998779296875, -0.3073999881744385]",0.875,-0.12779998779296875,-0.3073999881744385,[-0.0501251220703125],[0.014373779296875],[3.2718658447265625],[1.44805908203125],[31.092987060546875],2
65,"[0.6238000392913818, -0.10900002717971802, -0.7117999792098999]",0.6238000392913818,-0.10900002717971802,-0.7117999792098999,[0.0366668701171875],[-0.0047149658203125],[3.6441802978515625],[-0.44403076171875],[28.809478759765625],1
66,"[0.625, -0.06779998540878296, -0.715999960899353]",0.625,-0.06779998540878296,-0.715999960899353,[-0.2058563232421875],[-0.0057220458984375],[1.7364501953125],[-0.21820068359375],[28.494598388671875],1
67,"[0.6461999416351318, -0.05299997329711914, -0.707800030708313]",0.6461999416351318,-0.05299997329711914,-0.707800030708313,[0.06170654296874999],[0.0151519775390625],[2.440643310546875],[-1.76239013671875],[28.6490478515625],1
68,"[0.6152000427246094, -0.06459999084472656, -0.7224000096321106]",0.6152000427246094,-0.06459999084472656,-0.7224000096321106,[0.06353759765625],[-0.0014190673828125],[1.6254425048828125],[2.276611328125],[28.390289306640625],1
69,"[0.6133999824523926, -0.0658000111579895, -0.7297999858856201]",0.6133999824523926,-0.0658000111579895,-0.7297999858856201,[-0.2307586669921875],[-0.0021514892578125],[1.351165771484375],[-1.60675048828125],[28.32464599609375],1
70,"[0.8802000284194946, -0.12699997425079346, -0.25940001010894775]",0.8802000284194946,-0.12699997425079346,-0.25940001010894775,[-0.1533966064453125],[-0.0041656494140625],[1.1791229248046875],[0.02593994140625],[31.37969970703125],2
71,"[0.882599949836731, -0.13779997825622559, -0.25859999656677246]",0.882599949836731,-0.13779997825622559,-0.25859999656677246,[-0.0417022705078125],[-0.003021240234375],[1.833343505859375],[0.81024169921875],[31.1517333984375],2
72,"[0.8941999673843384, -0.11000001430511475, -0.21139997243881226]",0.8941999673843384,-0.11000001430511475,-0.21139997243881226,[-0.0491180419921875],[-0.01373291015625],[1.3935089111328125],[1.56402587890625],[31.384063720703125],2
73,"[0.6266000270843506, -0.06480002403259277, -0.7192000150680542]",0.6266000270843506,-0.06480002403259277,-0.7192000150680542,[-0.103546142578125],[-0.02655029296875],[1.5682220458984375],[1.90277099609375],[28.361724853515625],1
74,"[0.6114000082015991, -0.06459999084472656, -0.7206000089645386]",0.6114000082015991,-0.06459999084472656,-0.7206000089645386,[0.03460693359375],[0.009979248046875],[1.361083984375],[0.4608154296875],[28.381744384765625],1
75,"[0.8669999837875366, -0.12860000133514404, -0.29739999771118164]",0.8669999837875366,-0.12860000133514404,-0.29739999771118164,[0.0363922119140625],[-0.0243072509765625],[1.8146514892578125],[0.286865234375],[31.06512451171875],2
76,"[0.6180000305175781, -0.060800015926361084, -0.7242000102996826]",0.6180000305175781,-0.060800015926361084,-0.7242000102996826,[0.0414276123046875],[0.004119873046875],[1.6201019287109375],[0.53863525390625],[28.393157958984375],1
77,"[0.871399998664856, -0.14240002632141113, -0.28299999237060547]",0.871399998664856,-0.14240002632141113,-0.28299999237060547,[-0.0125885009765625],[-0.0211944580078125],[1.947784423828125],[0.64239501953125],[31.27667236328125],2
78,"[0.6216000318527222, -0.06300002336502075, -0.7164000272750854]",0.6216000318527222,-0.06300002336502075,-0.7164000272750854,[-0.2175750732421875],[0.0169830322265625],[1.216888427734375],[-1.57623291015625],[28.278961181640625],1
79,"[0.8902000188827515, -0.1284000277519226, -0.23640000820159912]",0.8902000188827515,-0.1284000277519226,-0.23640000820159912,[-0.1405792236328125],[-0.0114898681640625],[1.5506744384765625],[4.119873046875],[31.0167236328125],2
80,"[0.8215999603271484, -0.0382000207901001, -0.4350000023841858]",0.8215999603271484,-0.0382000207901001,-0.4350000023841858,[-0.0315399169921875],[0.0041656494140625],[6.5708160400390625],[3.72161865234375],[30.987396240234375],1
81,"[0.8279999494552612, -0.05739998817443848, -0.4106000065803528]",0.8279999494552612,-0.05739998817443848,-0.4106000065803528,[0.3999481201171875],[-0.0113983154296875],[6.5692901611328125],[-0.68817138671875],[31.45037841796875],1
82,"[0.8295999765396118, -0.04659998416900635, -0.40939998626708984]",0.8295999765396118,-0.04659998416900635,-0.40939998626708984,[-0.3865814208984375],[-0.0038909912109375],[6.620025634765625],[2.47650146484375],[31.631805419921875],1
83,"[0.8738000392913818, -0.06739997863769531, 0.07219994068145752]",0.8738000392913818,-0.06739997863769531,0.07219994068145752,[0.00933837890625],[0.0138702392578125],[8.301162719726562],[-2.5848388671875],[33.614044189453125],2
84,"[0.9082000255584717, 0.02799999713897705, 0.012599945068359375]",0.9082000255584717,0.02799999713897705,0.012599945068359375,[-0.1045074462890625],[-0.0075531005859375],[9.477615356445312],[-2.38189697265625],[32.11761474609375],2
85,"[0.9127999544143677, 0.023000001907348633, -0.008199989795684814]",0.9127999544143677,0.023000001907348633,-0.008199989795684814,[-0.0172576904296875],[-0.0108489990234375],[8.30535888671875],[-2.1209716796875],[33.364654541015625],2
86,"[0.9101999998092651, 0.08239996433258057, 0.014600038528442383]",0.9101999998092651,0.08239996433258057,0.014600038528442383,[0.0976409912109375],[-0.0073699951171875],[7.73468017578125],[12.01019287109375],[33.849090576171875],2
87,"[0.8977999687194824, 0.10759997367858887, -0.013400018215179443]",0.8977999687194824,0.10759997367858887,-0.013400018215179443,[-0.0169830322265625],[-0.026824951171875],[8.968734741210938],[-3.34625244140625],[34.107757568359375],2
88,"[0.8702000379562378, -0.12059998512268066, -0.3378000259399414]",0.8702000379562378,-0.12059998512268066,-0.3378000259399414,[-0.1383819580078125],[-0.007415771484375],[7.1285247802734375],[6.5765380859375],[30.972747802734375],1
89,"[0.8314000368118286, -0.06099998950958252, -0.4132000207901001]",0.8314000368118286,-0.06099998950958252,-0.4132000207901001,[-0.0336456298828125],[-0.0110321044921875],[6.5326690673828125],[-0.726318359375],[31.40765380859375],1
90,"[0.8286000490188599, -0.06319999694824219, -0.40859997272491455]",0.8286000490188599,-0.06319999694824219,-0.40859997272491455,[-0.20928955078125],[-0.0095672607421875],[7.595062255859375],[6.06231689453125],[31.4400634765625],1
91,"[0.8375999927520752, -0.016799986362457275, -0.40380001068115234]",0.8375999927520752,-0.016799986362457275,-0.40380001068115234,[0.0093841552734375],[-0.0238494873046875],[6.520843505859375],[1.36871337890625],[31.328125],1
92,"[0.899399995803833, 0.09619998931884766, 0.05200004577636719]",0.899399995803833,0.09619998931884766,0.05200004577636719,[-0.0428924560546875],[-0.0195465087890625],[7.9254150390625],[-1.0833740234375],[33.726165771484375],2
93,"[0.8552000522613525, 0.006800055503845215, -0.3593999743461609]",0.8552000522613525,0.006800055503845215,-0.3593999743461609,[-0.03533935546875],[0.02215576171875],[8.726882934570312],[3.17230224609375],[31.906951904296875],1
94,"[0.9146000146865845, 0.026399970054626465, 0.007799983024597168]",0.9146000146865845,0.026399970054626465,0.007799983024597168,[0.12474060058593751],[0.0444488525390625],[8.316421508789062],[5.206298828125],[31.809234619140625],2
95,"[0.9082000255584717, 0.017400026321411133, 0.02499997615814209]",0.9082000255584717,0.017400026321411133,0.02499997615814209,[-0.0303497314453125],[-0.0433502197265625],[7.697296142578125],[0.3387451171875],[31.85955810546875],2
96,"[0.9049999713897705, 0.03540003299713135, 0.03859996795654297]",0.9049999713897705,0.03540003299713135,0.03859996795654297,[0.0116729736328125],[-0.023712158203125],[7.3871612548828125],[-2.3040771484375],[32.17706298828125],2
97,"[0.8425999879837036, -0.025600016117095947, -0.38580000400543213]",0.8425999879837036,-0.025600016117095947,-0.38580000400543213,[-0.11737060546875],[-0.0357513427734375],[6.6272735595703125],[-2.117919921875],[31.659881591796875],1
98,"[0.8547999858856201, -0.06180000305175781, -0.35199999809265137]",0.8547999858856201,-0.06180000305175781,-0.35199999809265137,[-0.0791473388671875],[-0.0574951171875],[6.6295623779296875],[1.03607177734375],[30.993255615234375],1
99,"[0.8894000053405762, 0.10800004005432129, 0.0700000524520874]",0.8894000053405762,0.10800004005432129,0.0700000524520874,[-0.0715484619140625],[-0.0279693603515625],[7.019805908203125],[-1.64031982421875],[32.119110107421875],2
100,"[0.9052000045776367, 0.011399984359741211, 0.008999943733215332]",0.9052000045776367,0.011399984359741211,0.008999943733215332,[-0.0532379150390625],[-0.01995849609375],[11.374664306640625],[-5.34515380859375],[32.6123046875],2
101,"[0.9048000574111938, 0.05219995975494385, 0.10179996490478516]",0.9048000574111938,0.05219995975494385,0.10179996490478516,[-0.0602874755859375],[-0.0188140869140625],[6.9179534912109375],[12.17193603515625],[32.0582275390625],2
102,"[0.8289999961853027, -0.049799978733062744, -0.40700000524520874]",0.8289999961853027,-0.049799978733062744,-0.40700000524520874,[0.04046630859375],[-0.0307159423828125],[6.7447662353515625],[1.202392578125],[30.78826904296875],1
103,"[0.9165999889373779, 0.053799986839294434, 0.08000004291534424]",0.9165999889373779,0.053799986839294434,0.08000004291534424,[-0.0765380859375],[-0.0334625244140625],[8.285140991210938],[-10.23712158203125],[33.367645263671875],2
104,"[0.8378000259399414, -0.06779998540878296, -0.3917999863624573]",0.8378000259399414,-0.06779998540878296,-0.3917999863624573,[0.55242919921875],[-0.0054473876953125],[6.9828033447265625],[1.30767822265625],[30.8511962890625],1
105,"[0.8478000164031982, 0.03340005874633789, -0.3198000192642212]",0.8478000164031982,0.03340005874633789,-0.3198000192642212,[0.01959228515625],[-0.0073699951171875],[8.804702758789062],[2.85797119140625],[32.00628662109375],1
106,"[0.9005999565124512, 0.07620000839233398, 0.06939995288848877]",0.9005999565124512,0.07620000839233398,0.06939995288848877,[-0.1327056884765625],[0.005950927734375],[8.478164672851562],[-5.86395263671875],[33.51116943359375],2
107,"[0.9093999862670898, 0.031599998474121094, 0.005800008773803711]",0.9093999862670898,0.031599998474121094,0.005800008773803711,[-0.042205810546875],[0.0102081298828125],[8.072280883789062],[-3.37066650390625],[31.7958984375],2
108,"[0.8286000490188599, -0.009400010108947754, -0.42339998483657837]",0.8286000490188599,-0.009400010108947754,-0.42339998483657837,[-0.1891021728515625],[-0.02069091796875],[6.517791748046875],[1.19476318359375],[31.328125],1
109,"[0.9049999713897705, 0.018399953842163086, 0.02740001678466797]",0.9049999713897705,0.018399953842163086,0.02740001678466797,[-0.2367095947265625],[0.01556396484375],[8.139419555664062],[-1.898193359375],[31.770751953125],2
110,"[0.8478000164031982, -0.01260000467300415, -0.37139999866485596]",0.8478000164031982,-0.01260000467300415,-0.37139999866485596,[-0.052642822265625],[0.0185394287109375],[6.5418243408203125],[-4.046630859375],[31.301666259765625],1
111,"[0.843000054359436, -0.05419999361038208, -0.38760000467300415]",0.843000054359436,-0.05419999361038208,-0.38760000467300415,[-0.0681610107421875],[-0.0186309814453125],[6.5547943115234375],[-0.09307861328125],[31.457733154296875],1
112,"[0.8353999853134155, -0.04860001802444458, -0.39319998025894165]",0.8353999853134155,-0.04860001802444458,-0.39319998025894165,[0.0066375732421875],[0.0095672607421875],[6.5639495849609375],[-0.26092529296875],[31.59344482421875],1
113,"[0.9098000526428223, 0.014600038528442383, 0.034399986267089844]",0.9098000526428223,0.014600038528442383,0.034399986267089844,[0.09814453125],[-0.0166168212890625],[7.6915740966796875],[-3.97186279296875],[33.5792236328125],2
114,"[0.8761999607086182, 0.12539994716644287, 0.016199946403503418]",0.8761999607086182,0.12539994716644287,0.016199946403503418,[-0.3139801025390625],[-0.033233642578125],[8.479690551757812],[-3.28826904296875],[34.24658203125],2
115,"[0.8264000415802002, -0.08660000562667847, -0.4193999767303467]",0.8264000415802002,-0.08660000562667847,-0.4193999767303467,[-0.3286285400390625],[-0.0044403076171875],[6.5494537353515625],[0.738525390625],[31.341400146484375],1
116,"[0.909600019454956, 0.03100001811981201, 0.005200028419494629]",0.909600019454956,0.03100001811981201,0.005200028419494629,[0.1536712646484375],[-0.0360260009765625],[7.9280853271484375],[-0.52642822265625],[31.797393798828125],2
117,"[0.8442000150680542, -0.07440000772476196, -0.38099998235702515]",0.8442000150680542,-0.07440000772476196,-0.38099998235702515,[-0.0021514892578125],[-0.0135955810546875],[6.8500518798828125],[-1.60675048828125],[30.88775634765625],1
118,"[0.9112000465393066, 0.04419994354248047, 0.004999995231628418]",0.9112000465393066,0.04419994354248047,0.004999995231628418,[-0.278045654296875],[0.02545166015625],[9.659194946289062],[-5.26275634765625],[32.239532470703125],2
119,"[0.8999999761581421, 0.04620003700256348, 0.05540001392364502]",0.8999999761581421,0.04620003700256348,0.05540001392364502,[-0.0641326904296875],[-0.0120391845703125],[8.396148681640625],[-15.53497314453125],[33.376708984375],2
120,"[0.8442000150680542, -0.046999990940093994, -0.39079999923706055]",0.8442000150680542,-0.046999990940093994,-0.39079999923706055,[0.025543212890625],[-0.0150146484375],[6.589508056640625],[-1.824951171875],[31.612640380859375],1
121,"[0.9077999591827393, -0.004999995231628418, 0.06379997730255127]",0.9077999591827393,-0.004999995231628418,0.06379997730255127,[-0.0857391357421875],[-0.0151519775390625],[7.8769683837890625],[6.90765380859375],[32.21868896484375],2
122,"[0.9033999443054199, 0.04139995574951172, 0.06500005722045898]",0.9033999443054199,0.04139995574951172,0.06500005722045898,[0.0458221435546875],[0.0009613037109375],[6.91070556640625],[-4.96673583984375],[32.04931640625],2
